time,servo1,servo2,servo3,servo4,servo5,servo6,servo7
0.5547142028808594,9.690042673516171e-06,-0.009248842895048537,0.009369980170075887,-6.643732499576472e-09,0.004671128652523711,-3.5754070797564326e-10,0.02
0.5647196769714355,9.686941361425595e-06,-0.009581039871564632,0.009702138376432932,-6.64160616343723e-09,0.0048372121920736404,-3.574262765579624e-10,0.02
0.5746309757232666,9.683817879631226e-06,-0.009915611555416006,0.010036671012977094,-6.639464627201707e-09,0.005004482978430492,-3.5731102712824007e-10,0.02
0.5846560001373291,9.680606674186508e-06,-0.010259579756149103,0.010380599069751053,-6.63726294546565e-09,0.005176451600389354,-3.571925408937782e-10,0.02
0.5948960781097412,9.677272834727591e-06,-0.010616683896621463,0.0107376615331905,-6.6349771828216835e-09,0.00535498760110672,-3.5706952974092994e-10,0.02
0.6046736240386963,9.674039001970925e-06,-0.010963075821377294,0.011084013031118375,-6.632759987241897e-09,0.0055281679760105056,-3.5695020860971825e-10,0.02
0.6146676540374756,9.670682621839016e-06,-0.011322594405542527,0.01144348965646497,-6.630458770156008e-09,0.005707911089925475,-3.5682636575690214e-10,0.02
0.6249496936798096,9.667175886573524e-06,-0.011698218276541652,0.0118190696890241,-6.6280544658783355e-09,0.0058957061225270386,-3.566969751389502e-10,0.02
0.6349132061004639,9.663726014936828e-06,-0.01206775120119029,0.012188559486097003,-6.6256891487085025e-09,0.006080455956043086,-3.5656968266058163e-10,0.02
0.6446514129638672,9.660305026408065e-06,-0.012434190312366717,0.012554955830771545,-6.6233436345105785e-09,0.006263659022043184,-3.564434559037177e-10,0.02
0.6548571586608887,9.65666779177795e-06,-0.012823792619943115,0.01294451266850776,-6.620849856646554e-09,0.006458442643910293,-3.563092501536978e-10,0.02
0.6649007797241211,9.653036496738537e-06,-0.013212758708392187,0.01333343336136873,-6.618360151112558e-09,0.006652908184843303,-3.561752635611713e-10,0.02
0.6747226715087891,9.649435748488333e-06,-0.013598452778185275,0.013719082417445596,-6.615891389211431e-09,0.006845737863687625,-3.560424040762344e-10,0.02
0.684683084487915,9.645734223686388e-06,-0.013994941526106449,0.014115524891821538,-6.613353532418305e-09,0.007043964395840538,-3.55905826163952e-10,0.02
0.6947264671325684,9.641951007622205e-06,-0.014400180631789286,0.014520716702719379,-6.610759666078868e-09,0.007246565713112288,-3.557662340284385e-10,0.02
0.7047183513641357,9.638136631182867e-06,-0.014808757480372985,0.014929245866975633,-6.608144435416891e-09,0.007450835751637604,-3.556254921453987e-10,0.02
0.7149467468261719,9.634179855707026e-06,-0.015232587398626435,0.015353026320741134,-6.605431572459722e-09,0.007662731638616814,-3.554794960592515e-10,0.02
0.7246673107147217,9.630370784812231e-06,-0.015640595943922947,0.01576098724803594,-6.6028199794100735e-09,0.00786671755107192,-3.5533894993883275e-10,0.02
0.7346446514129639,9.62641180500921e-06,-0.01606466197863375,0.016185003790702035,-6.600105605111766e-09,0.008078731485654677,-3.5519287251798696e-10,0.02
0.7446489334106445,9.62239211701376e-06,-0.01649523077004437,0.01661552233114198,-6.597349607777873e-09,0.008293996505966341,-3.5504455510183536e-10,0.02
0.7551155090332031,9.618133197993894e-06,-0.016951424787384737,0.017071663106833983,-6.594429587747137e-09,0.008522072986119733,-3.548874106007347e-10,0.02
0.7647390365600586,9.61416917418068e-06,-0.017376031111136826,0.017496219875485122,-6.591711755150906e-09,0.00873435704091038,-3.5474114706729505e-10,0.02
0.774695873260498,9.610019421362511e-06,-0.017820531793178322,0.01794066868058806,-6.588866582163317e-09,0.00895658737960894,-3.5458803055269114e-10,0.02
0.7847385406494141,9.605784113836597e-06,-0.018274196665862212,0.018394280606795873,-6.5859627507557915e-09,0.009183399401244415,-3.5443175726243534e-10,0.02
0.7947020530700684,9.601532898433074e-06,-0.01872956551050706,0.018849596306096898,-6.5830480125146195e-09,0.009411063332182432,-3.5427489700739364e-10,0.02
0.8047349452972412,9.597202589024798e-06,-0.019193406507735013,0.01931338316921013,-6.5800790454709955e-09,0.009642962958169108,-3.5411511836206114e-10,0.02
0.8146469593048096,9.59287579869686e-06,-0.019656870558749817,0.01977679313010298,-6.5771124911957355e-09,0.009874674128011613,-3.5395546956285197e-10,0.02
0.8246736526489258,9.588449864801915e-06,-0.020130954370768735,0.020250821612585224,-6.574077961643127e-09,0.010111694700471912,-3.5379216258974883e-10,0.02
0.8346412181854248,9.584001217094398e-06,-0.020607471172322873,0.020727282800652506,-6.571027858939825e-09,0.010349931658216432,-3.5362801752821803e-10,0.02
0.8446815013885498,9.579471029314277e-06,-0.021092722136964264,0.021212477132457334,-6.56792185034956e-09,0.010592535304471339,-3.5346086382201257e-10,0.02
0.8547019958496094,9.574900770140928e-06,-0.021582265348011765,0.021701963209727296,-6.564788367822754e-09,0.010837284880780222,-3.532922315718227e-10,0.02
0.8648042678833008,9.57024378019965e-06,-0.02208109872336254,0.022200738367060845,-6.561595420540114e-09,0.01108667912118771,-3.53120399152014e-10,0.02
0.8748376369476318,9.56556954559188e-06,-0.02258177926078608,0.022701360470887926,-6.558390649888365e-09,0.01133699685951015,-3.5294793044292625e-10,0.02
0.8846752643585205,9.560939195289752e-06,-0.023077759131774046,0.02319728245688643,-6.555215967400045e-09,0.011584964476142589,-3.5277708096568675e-10,0.02
0.8946564197540283,9.556193535355239e-06,-0.02358609039150405,0.02370555439011685,-6.5519622257808234e-09,0.011839107231339348,-3.526019768232216e-10,0.02
0.9048995971679688,9.551273404982628e-06,-0.024113110048381636,0.02423251253940296,-6.548588862921648e-09,0.012102593344140792,-3.5242043511530286e-10,0.02
0.9149351119995117,9.54640413320655e-06,-0.024634681987808063,0.024754023607032,-6.545250369971929e-09,0.012363355843361387,-3.5224076997482795e-10,0.02
0.9246361255645752,9.541651279576671e-06,-0.02514378380005926,0.025263066002853704,-6.541991696177555e-09,0.012617883840144242,-3.5206540040123713e-10,0.02
0.934626579284668,9.536709589516543e-06,-0.0256731128223921,0.02579233324807285,-6.53860355146432e-09,0.01288252453175295,-3.5188306318950087e-10,0.02
0.9446697235107422,9.531693854131014e-06,-0.02621037320813036,0.02632953093104113,-6.535164639447843e-09,0.013151130548156737,-3.516979938723489e-10,0.02
0.954646110534668,9.526663945727682e-06,-0.026749151736359333,0.026868246579320226,-6.531716010060437e-09,0.01342049556749018,-3.515124016028231e-10,0.02
0.964655876159668,9.521569733621987e-06,-0.02729481815425554,0.02741384931339236,-6.528223292467063e-09,0.013693304221705437,-3.513244366717887e-10,0.02
0.9746277332305908,9.516447646500102e-06,-0.027843470403899378,0.027962437530740642,-6.524711463074367e-09,0.01396760565743348,-3.5113544321555993e-10,0.02
0.9846224784851074,9.511266679416105e-06,-0.028398429579392547,0.028517331937867384,-6.521159264125928e-09,0.014245060272277484,-3.5094427722159857e-10,0.02
0.9946365356445312,9.506028504911981e-06,-0.028959516526436996,0.029078353401383334,-6.517567842357827e-09,0.01452557849715028,-3.507510004029295e-10,0.02
1.0046207904815674,9.500759004977867e-06,-0.029523958896227165,0.029642729896039176,-6.513954943101514e-09,0.01480777428240349,-3.5055656774658325e-10,0.02
1.0146968364715576,9.495393685720587e-06,-0.030098664950715365,0.0302173688775354,-6.510276347751504e-09,0.015095101448144717,-3.503585995734393e-10,0.02
